,number,timestamp,keep
0,1.0,1720165876169847808,True
1,,1720165876199847808,False
2,,1720165876229847808,False
3,2.0,1720165876269790720,True
4,3.0,1720165876294205765,True
5,,1720165876324205765,False
6,,1720165876354205765,False
7,,1720165876384205765,False
8,,1720165876414205765,False
9,4.0,1720165876436518144,True
10,,1720165876466518144,False
11,5.0,1720165876495023080,True
12,6.0,1720165876536511744,True
13,7.0,1720165876569844992,True
14,8.0,1720165876595270326,True
15,9.0,1720165876636519168,True
16,10.0,1720165876669852672,True
17,,1720165876699852672,False
18,11.0,1720165876736448000,True
19,12.0,1720165876769781248,True
20,13.0,1720165876795682359,True
21,,1720165876825682359,False
22,14.0,1720165876869799936,True
23,15.0,1720165876895859537,True
24,16.0,1720165876936466688,True
25,17.0,1720165876969787392,True
26,18.0,1720165876996034162,True
27,19.0,1720165877036453888,True
28,20.0,1720165877069798400,True
29,21.0,1720165877096358295,True
30,22.0,1720165877136464896,True
31,23.0,1720165877169798144,True
32,24.0,1720165877196693437,True
33,25.0,1720165877236500992,True
34,26.0,1720165877269833984,True
35,27.0,1720165877296896563,True
36,28.0,1720165877336446464,True
37,29.0,1720165877369779968,True
38,30.0,1720165877397086635,True
39,31.0,1720165877436460032,True
40,32.0,1720165877469793792,True
41,33.0,1720165877497339998,True
42,,1720165877527339998,False
43,,1720165877557339998,False
44,34.0,1720165877597527888,True
45,35.0,1720165877636497408,True
46,,1720165877666497408,False
47,,1720165877696497408,False
48,36.0,1720165877736457216,True
49,37.0,1720165877769810176,True
50,38.0,1720165877797904057,True
51,39.0,1720165877836476672,True
52,,1720165877866476672,False
53,40.0,1720165877898316344,True
54,41.0,1720165877936493056,True
55,42.0,1720165877969826560,True
56,43.0,1720165877998831293,True
57,44.0,1720165878036480256,True
58,45.0,1720165878069813760,True
59,46.0,1720165878099209993,True
60,47.0,1720165878136471552,True
61,48.0,1720165878169805056,True
62,49.0,1720165878199371174,True
63,50.0,1720165878236471808,True
64,51.0,1720165878269789440,True
65,52.0,1720165878299551432,True
66,53.0,1720165878336456192,True
67,54.0,1720165878369789696,True
68,55.0,1720165878399716565,True
69,56.0,1720165878436478464,True
70,57.0,1720165878469811712,True
71,58.0,1720165878499881314,True
72,59.0,1720165878536464896,True
73,60.0,1720165878569798400,True
74,61.0,1720165878600174881,True
75,62.0,1720165878636464896,True
76,63.0,1720165878669786624,True
77,64.0,1720165878700549526,True
78,65.0,1720165878736452864,True
79,66.0,1720165878769822720,True
80,67.0,1720165878800791316,True
81,68.0,1720165878836489472,True
82,69.0,1720165878869822720,True
83,70.0,1720165878901085001,True
84,71.0,1720165878936486144,True
85,72.0,1720165878969819392,True
86,73.0,1720165879001503869,True
87,74.0,1720165879036457984,True
88,75.0,1720165879069791488,True
89,76.0,1720165879101732331,True
90,77.0,1720165879136473344,True
91,78.0,1720165879169806848,True
92,79.0,1720165879201952447,True
93,80.0,1720165879236473344,True
94,81.0,1720165879269780224,True
95,82.0,1720165879302194913,True
96,83.0,1720165879336446976,True
97,84.0,1720165879369780224,True
98,85.0,1720165879402470159,True
99,86.0,1720165879436474624,True
100,87.0,1720165879469808128,True
101,88.0,1720165879503285655,True
102,89.0,1720165879536428288,True
103,90.0,1720165879569761536,True
104,91.0,1720165879603696176,True
105,92.0,1720165879636493056,True
106,93.0,1720165879669826560,True
107,94.0,1720165879704069767,True
108,95.0,1720165879736493056,True
109,96.0,1720165879769758208,True
110,97.0,1720165879804314076,True
111,98.0,1720165879836424704,True
112,99.0,1720165879869810432,True
113,100.0,1720165879904576448,True
114,101.0,1720165879936476672,True
115,102.0,1720165879969810432,True
116,103.0,1720165880005053323,True
117,104.0,1720165880036478464,True
118,105.0,1720165880069811968,True
119,,1720165880108941918,False
120,106.0,1720165880136429056,True
121,,1720165880169762560,False
