,number,timestamp,keep
0,1.0,1720171435167935488,True
1,2.0,1720171435201268992,True
2,3.0,1720171435234589952,True
3,4.0,1720171435267922944,True
4,5.0,1720171435301256448,True
5,6.0,1720171435334625792,True
6,7.0,1720171435367959040,True
7,8.0,1720171435401292032,True
8,9.0,1720171435434625792,True
9,10.0,1720171435467927296,True
10,11.0,1720171435501260544,True
11,12.0,1720171435534594048,True
12,13.0,1720171435567927552,True
13,14.0,1720171435601281280,True
14,15.0,1720171435634614272,True
15,16.0,1720171435667947776,True
16,17.0,1720171435701280768,True
17,18.0,1720171435734608384,True
18,19.0,1720171435767941888,True
19,20.0,1720171435801274880,True
20,21.0,1720171435834605312,True
21,22.0,1720171435867938560,True
22,23.0,1720171435901271808,True
23,24.0,1720171435934605312,True
24,25.0,1720171435967927296,True
25,26.0,1720171436001260544,True
26,27.0,1720171436034593792,True
27,28.0,1720171436067937280,True
28,29.0,1720171436101270784,True
29,30.0,1720171436138624797,True
30,31.0,1720171436167928320,True
31,32.0,1720171436201261824,True
32,33.0,1720171436238751140,True
33,34.0,1720171436267928320,True
34,,1720171436297928320,False
35,35.0,1720171436334584320,True
36,36.0,1720171436338898017,True
37,37.0,1720171436367917568,True
38,,1720171436397917568,False
39,38.0,1720171436434604800,True
40,39.0,1720171436439082779,True
41,40.0,1720171436467938304,True
42,,1720171436497938304,False
43,41.0,1720171436534565888,True
44,42.0,1720171436539462801,True
45,43.0,1720171436567899136,True
46,,1720171436597899136,False
47,44.0,1720171436634565632,True
48,45.0,1720171436639667700,True
49,46.0,1720171436667926016,True
50,47.0,1720171436701259520,True
51,48.0,1720171436739875660,True
52,49.0,1720171436767904512,True
53,,1720171436797904512,False
54,50.0,1720171436834571008,True
55,51.0,1720171436840035077,True
56,52.0,1720171436867948800,True
57,53.0,1720171436901282304,True
58,54.0,1720171436940219053,True
59,55.0,1720171436967948800,True
60,56.0,1720171437001245952,True
61,57.0,1720171437040386622,True
62,58.0,1720171437067912704,True
63,,1720171437097912704,False
64,59.0,1720171437134612736,True
65,60.0,1720171437140583922,True
66,61.0,1720171437167945984,True
67,,1720171437197945984,False
68,62.0,1720171437234605312,True
69,63.0,1720171437240978686,True
70,64.0,1720171437267938560,True
71,65.0,1720171437301271808,True
72,66.0,1720171437341289361,True
73,67.0,1720171437367909888,True
74,,1720171437397909888,False
75,68.0,1720171437434576128,True
76,69.0,1720171437441502142,True
77,70.0,1720171437467927808,True
78,71.0,1720171437501261056,True
79,72.0,1720171437541723133,True
80,73.0,1720171437567927296,True
81,74.0,1720171437601265920,True
82,75.0,1720171437641895832,True
83,76.0,1720171437667932416,True
84,77.0,1720171437701223680,True
85,78.0,1720171437742064218,True
86,79.0,1720171437767890432,True
87,80.0,1720171437801223680,True
88,81.0,1720171437842216988,True
89,82.0,1720171437867904256,True
90,83.0,1720171437901237248,True
91,84.0,1720171437942446376,True
92,85.0,1720171437967931392,True
93,86.0,1720171438001264640,True
94,87.0,1720171438042876129,True
95,88.0,1720171438067903488,True
96,89.0,1720171438101236736,True
97,90.0,1720171438143289583,True
98,91.0,1720171438167930112,True
99,92.0,1720171438201263616,True
100,93.0,1720171438243492874,True
101,94.0,1720171438267930112,True
102,95.0,1720171438301231616,True
103,96.0,1720171438343732531,True
104,97.0,1720171438367898368,True
105,98.0,1720171438401259008,True
106,99.0,1720171438443883401,True
107,100.0,1720171438467925760,True
108,101.0,1720171438501259264,True
109,102.0,1720171438544056263,True
110,103.0,1720171438567877888,True
111,104.0,1720171438601211392,True
112,105.0,1720171438644231127,True
113,106.0,1720171438667880960,True
114,107.0,1720171438701214208,True
115,108.0,1720171438744565816,True
116,109.0,1720171438767892480,True
117,,1720171438797892480,False
118,110.0,1720171438834559232,True
119,111.0,1720171438844954168,True
120,112.0,1720171438867867136,True
121,113.0,1720171438901200384,True
122,114.0,1720171438945225579,True
123,115.0,1720171438967891712,True
124,116.0,1720171439001224960,True
125,117.0,1720171439045415556,True
126,118.0,1720171439067922432,True
127,119.0,1720171439101255936,True
128,120.0,1720171439145550435,True
129,121.0,1720171439167922432,True
130,,1720171439197922432,False
131,122.0,1720171439234589184,True
132,123.0,1720171439245710666,True
133,124.0,1720171439267922176,True
134,125.0,1720171439301236480,True
135,126.0,1720171439346023011,True
136,127.0,1720171439367903232,True
137,128.0,1720171439401239040,True
138,129.0,1720171439446223531,True
139,130.0,1720171439467905536,True
140,131.0,1720171439501238784,True
141,,1720171439531238784,False
142,132.0,1720171439546642236,True
143,133.0,1720171439567890944,True
144,134.0,1720171439601223936,True
145,,1720171439631223936,False
146,135.0,1720171439646976545,True
147,136.0,1720171439667889920,True
148,137.0,1720171439701223168,True
149,,1720171439731223168,False
150,138.0,1720171439747177264,True
151,139.0,1720171439767877888,True
152,140.0,1720171439801211136,True
153,,1720171439831211136,False
154,141.0,1720171439847352098,True
155,142.0,1720171439867882752,True
156,143.0,1720171439901216000,True
157,,1720171439931216000,False
158,144.0,1720171439947531171,True
159,145.0,1720171439967918336,True
160,146.0,1720171440001251584,True
161,,1720171440031251584,False
162,147.0,1720171440047675114,True
163,148.0,1720171440067918080,True
164,149.0,1720171440101218816,True
165,,1720171440131218816,False
166,150.0,1720171440147872447,True
167,151.0,1720171440167885312,True
168,152.0,1720171440201231872,True
169,,1720171440231231872,False
170,153.0,1720171440248258821,True
171,154.0,1720171440267898624,True
172,155.0,1720171440301231872,True
173,,1720171440331231872,False
174,156.0,1720171440348591934,True
175,157.0,1720171440367904768,True
176,158.0,1720171440401238272,True
177,,1720171440431238272,False
178,159.0,1720171440448869764,True
179,160.0,1720171440467875072,True
180,161.0,1720171440501208320,True
181,,1720171440531208320,False
182,162.0,1720171440549075839,True
183,163.0,1720171440567914752,True
184,164.0,1720171440601248000,True
185,,1720171440631248000,False
186,165.0,1720171440649342949,True
187,166.0,1720171440667914496,True
188,167.0,1720171440701204992,True
189,,1720171440731204992,False
190,168.0,1720171440749552922,True
191,169.0,1720171440767871744,True
192,170.0,1720171440801204992,True
